"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"3 Gewelds- en seksuele misdrijven";"2018*";"Nederland";83320
"3 Gewelds- en seksuele misdrijven";"2019*";"Nederland";83215
"3.1 Mishandeling";"2010";"Nederland";61445
"3.1 Mishandeling";"2011";"Nederland";60455
"3.1 Mishandeling";"2012";"Nederland";57585
"3.1 Mishandeling";"2013";"Nederland";53445
"3.1 Mishandeling";"2014";"Nederland";50905
"3.1 Mishandeling";"2015";"Nederland";48280
"3.1 Mishandeling";"2016";"Nederland";46990
"3.1 Mishandeling";"2017";"Nederland";44760
"3.1 Mishandeling";"2018*";"Nederland";43025
"3.1 Mishandeling";"2019*";"Nederland";42435
"3.2 Bedreiging en stalking";"2010";"Nederland";38075
"3.2 Bedreiging en stalking";"2011";"Nederland";37725
"3.2 Bedreiging en stalking";"2012";"Nederland";37335
"3.2 Bedreiging en stalking";"2013";"Nederland";35770
"3.2 Bedreiging en stalking";"2014";"Nederland";33920
"3.2 Bedreiging en stalking";"2015";"Nederland";31120
"3.2 Bedreiging en stalking";"2016";"Nederland";29690
"3.2 Bedreiging en stalking";"2017";"Nederland";27040
"3.2 Bedreiging en stalking";"2018*";"Nederland";26080
"3.2 Bedreiging en stalking";"2019*";"Nederland";27330
"3.2.1 Bedreiging";"2010";"Nederland";34350
"3.2.1 Bedreiging";"2011";"Nederland";34135
"3.2.1 Bedreiging";"2012";"Nederland";33740
"3.2.1 Bedreiging";"2013";"Nederland";32315
"3.2.1 Bedreiging";"2014";"Nederland";30605
"3.2.1 Bedreiging";"2015";"Nederland";28115
"3.2.1 Bedreiging";"2016";"Nederland";26760
"3.2.1 Bedreiging";"2017";"Nederland";24220
"3.2.1 Bedreiging";"2018*";"Nederland";23105
"3.2.1 Bedreiging";"2019*";"Nederland";23320
"3.2.2 Stalking";"2010";"Nederland";3725
