"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"2.2.5 Discriminatie";"2019*";"Enschede";5
"2.2.6 Openbare orde misdrijf (overig)";"2010";"Enschede";145
"2.2.6 Openbare orde misdrijf (overig)";"2011";"Enschede";110
"2.2.6 Openbare orde misdrijf (overig)";"2012";"Enschede";25
"2.2.6 Openbare orde misdrijf (overig)";"2013";"Enschede";15
"2.2.6 Openbare orde misdrijf (overig)";"2014";"Enschede";5
"2.2.6 Openbare orde misdrijf (overig)";"2015";"Enschede";10
"2.2.6 Openbare orde misdrijf (overig)";"2016";"Enschede";5
"2.2.6 Openbare orde misdrijf (overig)";"2017";"Enschede";15
"2.2.6 Openbare orde misdrijf (overig)";"2018*";"Enschede";10
"2.2.6 Openbare orde misdrijf (overig)";"2019*";"Enschede";10
"2.3 Brandstichting/ontploffing";"2010";"Enschede";95
"2.3 Brandstichting/ontploffing";"2011";"Enschede";60
"2.3 Brandstichting/ontploffing";"2012";"Enschede";85
"2.3 Brandstichting/ontploffing";"2013";"Enschede";100
"2.3 Brandstichting/ontploffing";"2014";"Enschede";65
"2.3 Brandstichting/ontploffing";"2015";"Enschede";65
"2.3 Brandstichting/ontploffing";"2016";"Enschede";75
"2.3 Brandstichting/ontploffing";"2017";"Enschede";55
"2.3 Brandstichting/ontploffing";"2018*";"Enschede";45
"2.3 Brandstichting/ontploffing";"2019*";"Enschede";45
"2.4 Openbaar gezag misdrijf";"2010";"Enschede";55
"2.4 Openbaar gezag misdrijf";"2011";"Enschede";35
"2.4 Openbaar gezag misdrijf";"2012";"Enschede";45
"2.4 Openbaar gezag misdrijf";"2013";"Enschede";50
"2.4 Openbaar gezag misdrijf";"2014";"Enschede";55
"2.4 Openbaar gezag misdrijf";"2015";"Enschede";60
"2.4 Openbaar gezag misdrijf";"2016";"Enschede";65
"2.4 Openbaar gezag misdrijf";"2017";"Enschede";65
"2.4 Openbaar gezag misdrijf";"2018*";"Enschede";60
"2.4 Openbaar gezag misdrijf";"2019*";"Enschede";60
"2.4.1 Niet opvolgen van ambtelijk bevel";"2010";"Enschede";40
"2.4.1 Niet opvolgen van ambtelijk bevel";"2011";"Enschede";20
"2.4.1 Niet opvolgen van ambtelijk bevel";"2012";"Enschede";20
"2.4.1 Niet opvolgen van ambtelijk bevel";"2013";"Enschede";20
"2.4.1 Niet opvolgen van ambtelijk bevel";"2014";"Enschede";35
"2.4.1 Niet opvolgen van ambtelijk bevel";"2015";"Enschede";35
"2.4.1 Niet opvolgen van ambtelijk bevel";"2016";"Enschede";40
"2.4.1 Niet opvolgen van ambtelijk bevel";"2017";"Enschede";40
"2.4.1 Niet opvolgen van ambtelijk bevel";"2018*";"Enschede";25
"2.4.1 Niet opvolgen van ambtelijk bevel";"2019*";"Enschede";35
"2.4.2 Wederspannigheid";"2010";"Enschede";10
"2.4.2 Wederspannigheid";"2011";"Enschede";5
"2.4.2 Wederspannigheid";"2012";"Enschede";10
"2.4.2 Wederspannigheid";"2013";"Enschede";15
"2.4.2 Wederspannigheid";"2014";"Enschede";5
"2.4.2 Wederspannigheid";"2015";"Enschede";5
"2.4.2 Wederspannigheid";"2016";"Enschede";10
"2.4.2 Wederspannigheid";"2017";"Enschede";15
"2.4.2 Wederspannigheid";"2018*";"Enschede";20
"2.4.2 Wederspannigheid";"2019*";"Enschede";20
"2.4.3 Valse aangifte";"2010";"Enschede";0
"2.4.3 Valse aangifte";"2011";"Enschede";5
"2.4.3 Valse aangifte";"2012";"Enschede";5
"2.4.3 Valse aangifte";"2013";"Enschede";10
"2.4.3 Valse aangifte";"2014";"Enschede";5
"2.4.3 Valse aangifte";"2015";"Enschede";5
"2.4.3 Valse aangifte";"2016";"Enschede";5
"2.4.3 Valse aangifte";"2017";"Enschede";0
"2.4.3 Valse aangifte";"2018*";"Enschede";5
"2.4.3 Valse aangifte";"2019*";"Enschede";5
"2.4.5 Verblijf ongewenste vreemdeling";"2010";"Enschede";0
"2.4.5 Verblijf ongewenste vreemdeling";"2011";"Enschede";0
"2.4.5 Verblijf ongewenste vreemdeling";"2012";"Enschede";0
"2.4.5 Verblijf ongewenste vreemdeling";"2013";"Enschede";0
"2.4.5 Verblijf ongewenste vreemdeling";"2014";"Enschede";0
"2.4.5 Verblijf ongewenste vreemdeling";"2015";"Enschede";10
"2.4.5 Verblijf ongewenste vreemdeling";"2016";"Enschede";5
"2.4.5 Verblijf ongewenste vreemdeling";"2017";"Enschede";0
"2.4.5 Verblijf ongewenste vreemdeling";"2018*";"Enschede";0
"2.4.5 Verblijf ongewenste vreemdeling";"2019*";"Enschede";0
"2.4.6 Openbaar gezag misdrijf (overig)";"2010";"Enschede";0
"2.4.6 Openbaar gezag misdrijf (overig)";"2011";"Enschede";5
"2.4.6 Openbaar gezag misdrijf (overig)";"2012";"Enschede";5
"2.4.6 Openbaar gezag misdrijf (overig)";"2013";"Enschede";5
"2.4.6 Openbaar gezag misdrijf (overig)";"2014";"Enschede";10
"2.4.6 Openbaar gezag misdrijf (overig)";"2015";"Enschede";10
