Gebied;Gebiedscode;Gemeente;Jaar;Leeftijdsgroep;Aantal
Buurt 08   Boddenkamp;BU01530008;Enschede;2010;0-17;47
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2010;0-17;823
Buurt 11   Wooldrik;BU01530101;Enschede;2010;0-17;259
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2010;0-17;527
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2010;0-17;796
Buurt 14   Sleutelkamp;BU01530104;Enschede;2010;0-17;125
Buurt 15   't Weldink;BU01530105;Enschede;2010;0-17;1
Buurt 16   De Leuriks;BU01530106;Enschede;2010;0-17;26
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2010;0-17;439
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2010;0-17;724
Buurt 22   Pathmos;BU01530202;Enschede;2010;0-17;411
Buurt 23   Stevenfenne;BU01530203;Enschede;2010;0-17;1008
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2010;0-17;249
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2010;0-17;528
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2010;0-17;405
Buurt 27   't Zwering;BU01530207;Enschede;2010;0-17;639
Buurt 28   Ruwenbos;BU01530208;Enschede;2010;0-17;517
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2010;0-17;883
Buurt 31   Twekkelerveld;BU01530301;Enschede;2010;0-17;653
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2010;0-17;475
Buurt 41   Bolhaar;BU01530401;Enschede;2010;0-17;287
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2010;0-17;820
Buurt 43   Mekkelholt;BU01530403;Enschede;2010;0-17;345
Buurt 44   Deppenbroek;BU01530404;Enschede;2010;0-17;898
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2010;0-17;177
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2010;0-17;73
Buurt 50   Schreurserve;BU01530500;Enschede;2010;0-17;465
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2010;0-17;403
Buurt 52   Park Stokhorst;BU01530502;Enschede;2010;0-17;744
Buurt 53   Stokhorst;BU01530503;Enschede;2010;0-17;188
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2010;0-17;742
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2010;0-17;1082
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2010;0-17;518
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2010;0-17;934
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2010;0-17;949
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2010;0-17;539
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2010;0-17;1137
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2010;0-17;1002
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2010;0-17;1030
Buurt 69   het Brunink;BU01530609;Enschede;2010;0-17;91
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2010;0-17;36
Buurt 71   Marssteden;BU01530701;Enschede;2010;0-17;9
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2010;0-17;2
Buurt 73   Kennispark;BU01530703;Enschede;2010;0-17;2
Buurt 80   Glanerveld;BU01530800;Enschede;2010;0-17;255
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2010;0-17;652
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2010;0-17;699
Buurt 83   Eekmaat;BU01530803;Enschede;2010;0-17;373
Buurt 84   Oikos;BU01530804;Enschede;2010;0-17;785
Buurt 85   Eilermarke;BU01530805;Enschede;2010;0-17;684
Buurt 86   De Slank;BU01530806;Enschede;2010;0-17;47
Buurt 87   Dolphia;BU01530807;Enschede;2010;0-17;123
Buurt 88   Eekmaat West;BU01530808;Enschede;2010;0-17;928
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2010;0-17;380
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2010;0-17;507
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2010;0-17;229
Buurt 93   Noord Esmarke;BU01530903;Enschede;2010;0-17;67
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2010;0-17;42
